,Player Name,Age,Team,At Bats,Home Runs,Home Runs per At Bat,Slugging Percentage,Batting Average,Isolated Power
0,Marcus Semien,32,TEX,670,29,0.04328358208955224,0.478,0.276,0.20199999999999996
9,Julio Rodríguez,22,SEA,654,32,0.04892966360856269,0.485,0.275,0.20999999999999996
1,Ronald Acuña Jr.,25,ATL,643,41,0.06376360808709176,0.596,0.337,0.25899999999999995
12,Bobby Witt Jr.,23,KCR,641,30,0.046801872074883,0.495,0.276,0.21899999999999997
16,Trea Turner,30,PHI,639,26,0.0406885758998435,0.459,0.266,0.193
7,Steven Kwan,25,CLE,638,5,0.007836990595611285,0.37,0.268,0.10199999999999998
2,Freddie Freeman,33,LAD,637,29,0.04552590266875981,0.567,0.331,0.23599999999999993
8,Austin Riley,26,ATL,636,37,0.05817610062893082,0.516,0.281,0.235
25,Lane Thomas,27,WSN,628,28,0.044585987261146494,0.468,0.268,0.2
29,Nick Castellanos,31,PHI,626,29,0.0463258785942492,0.476,0.272,0.20399999999999996
26,Teoscar Hernández,30,SEA,625,26,0.0416,0.435,0.258,0.177
4,Nathaniel Lowe,27,TEX,623,17,0.027287319422150885,0.414,0.262,0.15199999999999997
3,Alex Bregman,29,HOU,622,25,0.04019292604501608,0.441,0.262,0.179
17,Nico Hoerner,26,CHC,619,9,0.014539579967689823,0.383,0.283,0.10000000000000003
22,George Springer,33,TOR,613,21,0.03425774877650897,0.405,0.258,0.14700000000000002
15,José Ramírez,30,CLE,611,24,0.03927986906710311,0.475,0.282,0.193
36,Joey Meneses,31,WSN,611,13,0.02127659574468085,0.401,0.275,0.126
5,Matt Olson,29,ATL,608,54,0.08881578947368421,0.604,0.283,0.321
21,Spencer Torkelson,23,DET,606,31,0.05115511551155116,0.446,0.233,0.213
23,Vladimir Guerrero Jr.,24,TOR,602,26,0.04318936877076412,0.444,0.264,0.18
19,Francisco Lindor,29,NYM,602,31,0.05149501661129568,0.47,0.254,0.21599999999999997
11,Eugenio Suárez,31,SEA,598,22,0.03678929765886288,0.391,0.232,0.159
30,Xander Bogaerts,30,SDP,596,19,0.031879194630872486,0.44,0.285,0.15500000000000003
34,Ozzie Albies,26,ATL,596,33,0.05536912751677853,0.513,0.28,0.23299999999999998
28,Gleyber Torres,26,NYY,596,25,0.04194630872483222,0.453,0.273,0.18
18,Paul Goldschmidt,35,STL,593,25,0.04215851602023609,0.447,0.268,0.179
24,Brandon Nimmo,30,NYM,592,24,0.04054054054054054,0.466,0.274,0.192
38,Anthony Santander,28,BAL,591,28,0.047377326565143825,0.472,0.257,0.21499999999999997
20,Adley Rutschman,25,BAL,588,20,0.034013605442176874,0.435,0.277,0.15799999999999997
31,Ty France,28,SEA,587,12,0.020442930153321975,0.366,0.25,0.11599999999999999
6,Kyle Schwarber,30,PHI,585,47,0.08034188034188035,0.474,0.197,0.27699999999999997
44,Bryson Stott,25,PHI,585,15,0.02564102564102564,0.419,0.28,0.13899999999999996
41,Jeff McNeil,31,NYM,585,10,0.017094017094017096,0.378,0.27,0.10799999999999998
13,Mookie Betts,30,LAD,584,39,0.06678082191780822,0.579,0.307,0.27199999999999996
32,Spencer Steer,25,CIN,582,23,0.03951890034364261,0.464,0.271,0.193
33,Christian Walker,32,ARI,582,33,0.05670103092783505,0.497,0.258,0.239
62,Ezequiel Tovar,21,COL,581,15,0.025817555938037865,0.408,0.253,0.15499999999999997
37,Rafael Devers,26,BOS,580,33,0.056896551724137934,0.5,0.271,0.22899999999999998
14,Ian Happ,28,CHC,580,21,0.03620689655172414,0.431,0.248,0.183
53,Bryan De La Cruz,26,MIA,579,19,0.03281519861830743,0.411,0.257,0.15399999999999997
49,Jeremy Peña,25,HOU,577,10,0.01733102253032929,0.381,0.263,0.118
48,Fernando Tatis Jr.,24,SDP,575,25,0.043478260869565216,0.449,0.257,0.192
59,Luis Arráez,26,MIA,574,10,0.017421602787456445,0.469,0.354,0.11499999999999999
27,Kyle Tucker,26,HOU,574,29,0.050522648083623695,0.517,0.284,0.23300000000000004
43,Bryan Reynolds,28,PIT,574,24,0.041811846689895474,0.46,0.263,0.197
70,Bo Bichette,25,TOR,571,20,0.03502626970227671,0.475,0.306,0.16899999999999998
40,Ketel Marte,29,ARI,569,25,0.043936731107205626,0.485,0.276,0.20899999999999996
35,Pete Alonso,28,NYM,568,46,0.08098591549295775,0.504,0.217,0.28700000000000003
10,Juan Soto,24,SDP,568,35,0.061619718309859156,0.519,0.275,0.244
63,Andrew Vaughn,25,CHW,566,21,0.037102473498233215,0.429,0.258,0.17099999999999999
47,Dansby Swanson,29,CHC,565,22,0.03893805309734513,0.416,0.244,0.172
42,Corbin Carroll,22,ARI,565,25,0.04424778761061947,0.506,0.285,0.22100000000000003
64,CJ Abrams,22,WSN,563,18,0.03197158081705151,0.412,0.245,0.16699999999999998
57,Andrew Benintendi,28,CHW,562,5,0.008896797153024912,0.356,0.262,0.09399999999999997
56,Gunnar Henderson,22,BAL,560,28,0.05,0.489,0.255,0.23399999999999999
65,Nolan Arenado,32,STL,560,26,0.04642857142857143,0.459,0.266,0.193
66,Alec Bohm,26,PHI,558,20,0.035842293906810034,0.437,0.274,0.16299999999999998
55,Justin Turner,38,BOS,558,23,0.04121863799283154,0.455,0.276,0.179
61,Andrés Giménez,24,CLE,557,15,0.026929982046678635,0.399,0.251,0.14800000000000002
52,Ryan McMahon,28,COL,555,23,0.04144144144144144,0.431,0.24,0.191
50,Adolis García,30,TEX,555,39,0.07027027027027027,0.508,0.245,0.263
45,Willy Adames,27,MIL,553,24,0.0433996383363472,0.407,0.217,0.18999999999999997
77,Lourdes Gurriel Jr.,29,ARI,551,24,0.043557168784029036,0.463,0.261,0.202
39,Randy Arozarena,28,TBR,551,23,0.041742286751361164,0.425,0.254,0.17099999999999999
58,Carlos Santana,37,2TM,550,23,0.04181818181818182,0.429,0.24,0.189
51,Christian Yelich,31,MIL,550,19,0.034545454545454546,0.447,0.278,0.16899999999999998
60,Josh Bell,30,2TM,547,22,0.04021937842778794,0.419,0.247,0.172
78,Whit Merrifield,34,TOR,547,11,0.02010968921389397,0.382,0.272,0.10999999999999999
69,Alex Verdugo,27,BOS,546,13,0.023809523809523808,0.421,0.264,0.15699999999999997
75,Luis Robert Jr.,25,CHW,546,38,0.0695970695970696,0.542,0.264,0.278
